"address","dbStart","dbEnd","dataStart","dataEnd","totalNodes","coNodes","yield","yieldSD","yieldMin","yieldMax"
"1","127Jodrell","2011-02-14 00:00:00","2011-03-18 00:00:00","2011-02-14","2011-03-18",13,5,94.2925347222222,9.07694387767061,65.7594086021505,98.2862903225807
"2","133Jodrell","2011-03-14 00:00:00","2011-04-04 00:00:00","2011-03-14","2011-04-04",8,3,87.4756944444444,24.7253562123379,17.0138888888889,99.21875
"3","603SwanLane","2011-04-12 00:00:00","2011-05-09 00:00:00","2011-04-03","2011-05-04",12,3,72.4463904151404,21.5686999750476,6.3034188034188,82.3050213675214
"4","41PriorPark","2011-04-12 00:00:00","2011-05-02 00:00:00","2011-03-17","2011-05-04",14,4,97.3412856636541,0.46309091662072,96.3084795321637,98.6659356725146
"5","119Jodrell","2011-03-29 00:00:00","2011-04-07 00:00:00","2011-03-17","2011-04-07",12,5,99.8857060185185,0.285746162552754,99.0451388888889,100
"6","605SwanLane","2011-04-12 00:00:00","2011-05-02 00:00:00","2011-04-03","2011-04-27",11,2,75.6454678362573,0.8150721377539,73.4831871345029,75.9502923976608
"7","117Jodrell","2011-03-29 00:00:00","2011-04-07 00:00:00","2011-03-17","2011-04-07",12,3,93.6352926587302,22.8203919945005,12.8472222222222,100
"8","Elm Road","2010-02-04 00:00:00","2010-02-14 00:00:00","2010-02-04","2010-02-14",12,6,83.5699588477366,1.11828724317309,79.5138888888889,84.1820987654321
"9","58Elliot","2010-07-13 00:00:00","2010-07-27 00:00:00","2010-07-13","2010-07-27",12,4,100.2928495116,0.0312516849188682,100.240384615385,100.347222222222
"10","Leam","2010-02-19 00:00:00","2010-03-05 00:00:00","2010-02-19","2010-03-05",11,5,82.6161364355809,0.0827241207547875,82.3985042735043,82.7190170940171
"11","School","2010-03-15 00:00:00","2010-03-29 00:00:00","2010-03-15","2010-03-29",14,7,87.493894993895,22.1945930747457,0.186965811965812,94.7916666666667
"12","TheGreen","2010-03-23 00:00:00","2010-04-09 00:00:00","2010-03-23","2010-04-09",10,4,99.5867693865741,0.544756139333771,98.1770833333333,99.8697916666667
"13","Town Ground","2010-02-28 00:00:00","2010-03-19 00:00:00","2010-02-26","2010-03-19",10,5,100.143518518519,0.0459466823172566,100.05787037037,100.212191358025
"14","Brays lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","30 Elliot Summer","2010-07-13 00:00:00","2010-07-27 00:00:00","2010-07-13","2010-07-27",12,4,100.136408730159,0.023374511535267,100.080128205128,100.160256410256
"16","30 Elliot Winter","2010-02-02 00:00:00","2010-02-14 00:00:00","2010-02-02","2010-02-18",14,7,91.0723304473305,25.4704687861368,10.1641414141414,100.252525252525
"17","Weston Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
