"address","dbStart","dbEnd","dataStart","dataEnd","totalNodes","coNodes","yield","yieldSD","yieldMin","yieldMax","yieldDays","RLE"
"1","SC-site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","SC-26",NA,NA,"2011-06-30","2012-11-12",9,3,54.5044670418922,21.5945067189893,0.0270292747837658,70.1673042803282,54.7229218196152,337
"3","SC-27",NA,NA,"2011-06-30","2012-11-12",10,5,50.6702307191173,27.7627320641616,0.000693058327788867,71.6095586604569,50.8733178161879,366
"4","SC-28",NA,NA,"2011-06-30","2012-11-12",7,4,33.3382267451629,29.7894264688271,0.000693058327788867,77.412536039033,33.4718468924381,343
"5","SC-29",NA,NA,"2011-06-30","2012-11-12",7,3,49.001160261177,25.6620601500454,0.0235639831448215,72.7995398092704,49.1975576970935,348
"6","SC-30",NA,NA,"2011-06-30","2012-11-12",7,3,48.1309439943642,24.5675447724973,0.0228709248170326,77.4166943889998,48.323853589532,348
"7","SC-31",NA,NA,"2011-07-01","2012-11-12",7,3,53.3379493464052,26.3257556058035,0.0243055555555556,72.1368055555556,53.5521579783185,359
"8","SC-32",NA,NA,"2011-06-30","2012-11-12",7,3,52.813429513522,26.4513633235941,0.0256431581281881,75.5163284542027,53.0251065857205,354
"9","SC-33",NA,NA,"2011-06-30","2012-11-12",7,3,51.5016535556338,25.1591361413023,0.0242570414726103,70.6157130184076,51.7080730087626,343
"10","SC-34",NA,NA,"2011-06-30","2012-11-12",7,3,47.3149901178036,24.9199252881646,0.0256431581281881,71.9034153914393,47.5046293567527,345
"11","SC-35",NA,NA,"2011-06-30","2012-11-12",7,4,48.7677984871099,29.3948523433479,0.000693058327788867,72.298458638279,48.9632606052947,348
"12","SC-36",NA,NA,"2011-06-30","2012-11-12",7,4,32.1305670822099,26.3785301833404,0.000693058327788867,72.0773730317144,32.2593469101947,320
"13","SC-37",NA,NA,"2011-06-30","2012-11-12",7,3,50.0689400519948,28.4134885738419,0.000693058327788867,73.3893324462187,50.2696171664316,356
"14","SC-38",NA,NA,"2011-07-01","2012-11-12",7,4,26.4241865079365,24.2661038808924,0.000694444444444444,65.7701388888889,26.5303077388921,299
"15","SC-39",NA,NA,"2011-06-30","2012-11-12",7,3,42.4618548397033,24.3562895797809,0.000693058327788867,64.1439343535152,42.632042634652,340
"16","SC-40",NA,NA,"2011-06-30","2012-11-12",9,3,67.1083180860501,30.6292531641697,0.0242570414726103,83.3603626081171,67.3772893008239,403
"17","SC-41",NA,NA,"2011-06-30","2012-11-12",9,3,38.1800461576846,37.2310306510313,0.0263362164559769,81.7607839875804,38.3330723947896,382
"18","SC-42",NA,NA,"2011-06-30","2012-11-12",9,3,40.3174207141273,35.3880576954517,0.0235639831448215,81.6970226214238,40.479013582721,376
"19","SC-43",NA,NA,"2011-06-30","2012-11-13",7,3,46.4481534645731,38.0926132068467,0.0276671093404161,92.9815460380699,46.6339460784314,442
"20","SC-44",NA,NA,"2011-06-30","2012-11-13",7,3,53.2769046363565,33.3289386860964,0.0242087206728641,93.3017928286853,53.490012254902,445
"21","SC-45",NA,NA,"2011-06-30","2012-11-13",7,3,54.5269659210381,37.9439649851281,0.0255920761398849,94.4043271359008,54.7450737847222,394
"22","SC-46",NA,NA,"2011-06-30","2012-11-13",7,4,35.1488885726934,43.1936829888434,0.000691677733510403,94.183681938911,35.2894841269841,428
"23","SC-47",NA,NA,"2011-06-30","2012-11-13",7,3,37.2610987028318,41.0664599964604,0.0242087206728641,94.1919820717131,37.4101430976431,455
"24","SC-48",NA,NA,"2011-06-30","2012-11-13",7,3,53.825344048642,34.7508794502757,0.0235170429393537,94.0315128375387,54.0406454248366,448
